# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_font-weight-lighter-001_xht | self-fail | 0.54% | 7.28% |
| css_css-fonts_font-weight-normal-001_xht | self-fail | 0.58% | 7.45% |
| css_css-fonts_font-weight-normal-variable_html | self-pass | 0.00% | 0.19% |
| css_css-fonts_italic-oblique-fallback_html | self-fail | 1.43% | 4.02% |
| css_css-fonts_line-gap-override_html | self-pass | 0.20% | 0.20% |
| css_css-fonts_metrics-override-normal-keyword_html | POLLUTED | 0.01% | 1.14% |
| css_css-fonts_oblique-last-resort-weight-selection_html | self-pass | 0.00% | 0.31% |
| css_css-fonts_palette-values-rule-add-2_html | self-pass | 0.00% | 0.47% |
| css_css-fonts_palette-values-rule-delete-2_html | self-pass | 0.00% | 0.42% |
| css_css-fonts_quoted-generic-ignored_html | POLLUTED | 0.21% | 4.39% |
| css_css-fonts_rcap-in-monospace_html | self-pass | 0.00% | 0.98% |
| css_css-fonts_rch-in-monospace_html | self-pass | 0.00% | 0.87% |
| css_css-fonts_rex-in-monospace_html | POLLUTED | 0.00% | 1.04% |
| css_css-fonts_ric-in-monospace_html | self-pass | 0.00% | 1.00% |
| css_css-fonts_rlh-in-monospace_html | self-pass | 0.00% | 0.92% |
| css_css-fonts_separators_html | self-pass | 0.00% | 0.52% |
| css_css-fonts_size-adjust-01_html | self-fail | 4.86% | 7.62% |
| css_css-fonts_size-adjust-02_html | POLLUTED | 0.00% | 5.35% |
| css_css-fonts_size-adjust-03_html | POLLUTED | 0.00% | 20.29% |
| css_css-fonts_size-adjust-text-decoration_tentative_html | self-fail | 3.90% | 4.84% |
| css_css-fonts_size-adjust-unicode-range-system-fallback_html | self-pass | 0.00% | 0.05% |
| css_css-fonts_size-adjust_tentative_html | self-fail | 2.33% | 8.32% |
| css_css-fonts_small-caps-letter-spacing-001_html | POLLUTED | 0.13% | 1.94% |
| css_css-fonts_small-caps-letter-spacing-002_html | POLLUTED | 0.12% | 1.06% |
| css_css-fonts_standard-font-family-2_html | POLLUTED | 0.00% | 9.92% |
| css_css-fonts_standard-font-family-6_html | POLLUTED | 0.00% | 5.52% |
| css_css-fonts_standard-font-family-7_html | POLLUTED | 0.00% | 11.08% |
| css_css-fonts_standard-font-family_html | POLLUTED | 0.00% | 5.52% |
