# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-multicol_multicol-breaking-nobackground-001_html | POLLUTED | 0.50% | 1.35% |
| css_css-multicol_multicol-breaking-nobackground-002_html | self-fail | 0.82% | 2.24% |
| css_css-multicol_multicol-breaking-nobackground-003_html | self-fail | 0.50% | 1.35% |
| css_css-multicol_multicol-breaking-nobackground-004_html | self-fail | 4.41% | 5.26% |
| css_css-multicol_multicol-breaking-nobackground-005_html | self-fail | 0.82% | 2.24% |
| css_css-multicol_multicol-clip-001_xht | self-fail | 0.56% | 1.07% |
| css_css-multicol_multicol-clip-002_xht | self-fail | 0.56% | 1.07% |
| css_css-multicol_multicol-collapsing-001_xht | self-fail | 1.68% | 2.11% |
| css_css-multicol_multicol-columns-001_xht | self-fail | 4.88% | 16.39% |
| css_css-multicol_multicol-columns-invalid-001_xht | self-fail | 0.82% | 2.98% |
| css_css-multicol_multicol-contained-absolute_html | POLLUTED | 0.00% | 16.33% |
| css_css-multicol_multicol-containing-001_xht | POLLUTED | 0.31% | 2.77% |
| css_css-multicol_multicol-containing-002_xht | self-fail | 3.92% | 5.51% |
| css_css-multicol_multicol-count-002_xht | self-fail | 9.34% | 11.39% |
| css_css-multicol_multicol-count-computed-003_xht | self-fail | 2.06% | 0.87% |
| css_css-multicol_multicol-count-computed-004_xht | self-fail | 2.50% | 2.72% |
| css_css-multicol_multicol-dynamic-add-002_html | self-pass | 0.02% | 0.03% |
| css_css-multicol_multicol-dynamic-add-003_html | self-pass | 0.04% | 0.03% |
| css_css-multicol_multicol-dynamic-add-004_html | self-pass | 0.04% | 0.03% |
