# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-color-applies-to-005_xht | self-fail | 0.76% | 1.40% |
| css_CSS2_backgrounds_background-color-applies-to-006_xht | self-fail | 1.58% | 2.25% |
| css_CSS2_backgrounds_background-color-applies-to-007_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-009_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-012_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-013_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-014_xht | self-fail | 1.39% | 1.78% |
| css_CSS2_backgrounds_background-color-applies-to-015_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-001_xht | self-pass | 0.00% | 0.42% |
| css_CSS2_backgrounds_background-image-002_xht | self-pass | 0.00% | 0.70% |
| css_CSS2_backgrounds_background-image-003_xht | self-pass | 0.00% | 0.83% |
| css_CSS2_backgrounds_background-image-005_xht | self-pass | 0.00% | 0.37% |
| css_CSS2_backgrounds_background-image-applies-to-001_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-002_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-003_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-004_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-005_xht | self-fail | 1.51% | 2.14% |
| css_CSS2_backgrounds_background-image-applies-to-006_xht | self-fail | 1.92% | 2.54% |
| css_CSS2_backgrounds_background-image-applies-to-007_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-009_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-012_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-013_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-applies-to-014_xht | self-fail | 1.39% | 1.78% |
| css_CSS2_backgrounds_background-image-applies-to-015_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-image-cover-002_xht | self-fail | 42.42% | 2.84% |
| css_CSS2_backgrounds_background-image-cover-004_xht | self-fail | 30.12% | 3.06% |
| css_CSS2_backgrounds_background-image-cover-attachment-001_xht | self-fail | 32.53% | 3.08% |
| css_CSS2_backgrounds_background-image-transparency-001_xht | self-fail | 7.13% | 8.04% |
| css_CSS2_backgrounds_background-intrinsic-001_xht | self-fail | 3.33% | 4.13% |
| css_CSS2_backgrounds_background-intrinsic-002_xht | self-fail | 2.50% | 3.30% |
| css_CSS2_backgrounds_background-intrinsic-003_xht | self-fail | 2.00% | 2.80% |
| css_CSS2_backgrounds_background-intrinsic-004_xht | self-fail | 1.38% | 2.18% |
| css_CSS2_backgrounds_background-intrinsic-005_xht | self-fail | 0.89% | 1.68% |
| css_CSS2_backgrounds_background-intrinsic-006_xht | self-fail | 0.90% | 2.75% |
| css_CSS2_backgrounds_background-intrinsic-007_xht | self-fail | 0.51% | 1.30% |
| css_CSS2_backgrounds_background-intrinsic-008_xht | self-fail | 0.51% | 1.30% |
| css_CSS2_backgrounds_background-intrinsic-009_xht | self-fail | 1.00% | 1.80% |
| css_CSS2_backgrounds_background-intrinsic-010_xht | self-fail | 1.00% | 1.80% |
| css_CSS2_backgrounds_background-position-001_xht | self-fail | 3.17% | 2.53% |
| css_CSS2_backgrounds_background-position-002_xht | self-fail | 2.60% | 2.16% |
| css_CSS2_backgrounds_background-position-004_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-005_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-006_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-007_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-008_xht | self-pass | 0.00% | 0.46% |
| css_CSS2_backgrounds_background-position-016_xht | self-pass | 0.00% | 0.46% |
